idciudadvotacion,NombreCiudad,idProvincia,NombreProvincia,idmun,NombreMunicipio,idpersona,idsexo,Des_sexo,edad
2,La Paz,1,Murillo,5,El Alto,1368227,1,Masculino,31
2,La Paz,1,Murillo,5,El Alto,1990992,2,Femenino,37
2,La Paz,1,Murillo,5,El Alto,2136531,2,Femenino,25
2,La Paz,1,Murillo,5,El Alto,2268770,2,Femenino,27
2,La Paz,1,Murillo,5,El Alto,2408761,1,Masculino,33
2,La Paz,1,Murillo,5,El Alto,2743999,2,Femenino,36
2,La Paz,1,Murillo,5,El Alto,10480356,1,Masculino,58
2,La Paz,1,Murillo,5,El Alto,10528781,1,Masculino,35
2,La Paz,1,Murillo,5,El Alto,1719105,1,Masculino,42
2,La Paz,1,Murillo,5,El Alto,2075149,1,Masculino,28
2,La Paz,1,Murillo,5,El Alto,1367652,1,Masculino,33
2,La Paz,1,Murillo,5,El Alto,1391891,2,Femenino,73
2,La Paz,1,Murillo,5,El Alto,1742426,1,Masculino,36
2,La Paz,1,Murillo,5,El Alto,1817184,2,Femenino,53
2,La Paz,1,Murillo,5,El Alto,2072141,2,Femenino,32
2,La Paz,1,Murillo,5,El Alto,1274446,2,Femenino,41
2,La Paz,1,Murillo,5,El Alto,1843838,2,Femenino,52
2,La Paz,1,Murillo,5,El Alto,2318513,2,Femenino,26
2,La Paz,1,Murillo,5,El Alto,2692248,1,Masculino,36
2,La Paz,1,Murillo,5,El Alto,2844775,1,Masculino,50
2,La Paz,1,Murillo,5,El Alto,5086183,1,Masculino,38
2,La Paz,1,Murillo,5,El Alto,8434909,1,Masculino,38
2,La Paz,1,Murillo,5,El Alto,9638977,2,Femenino,41
2,La Paz,1,Murillo,5,El Alto,10423157,1,Masculino,27
2,La Paz,1,Murillo,5,El Alto,10870167,1,Masculino,48
2,La Paz,1,Murillo,5,El Alto,210001,2,Femenino,23
2,La Paz,1,Murillo,5,El Alto,227510,1,Masculino,25
2,La Paz,1,Murillo,5,El Alto,1197073,1,Masculino,90
2,La Paz,1,Murillo,5,El Alto,2327723,2,Femenino,25
2,La Paz,1,Murillo,5,El Alto,1213153,1,Masculino,51
2,La Paz,1,Murillo,5,El Alto,1232837,2,Femenino,52
2,La Paz,1,Murillo,5,El Alto,1309835,1,Masculino,41
2,La Paz,1,Murillo,5,El Alto,2212425,2,Femenino,27
2,La Paz,1,Murillo,5,El Alto,2852127,1,Masculino,26
2,La Paz,1,Murillo,5,El Alto,759416,1,Masculino,46
2,La Paz,1,Murillo,5,El Alto,1245116,2,Femenino,36
2,La Paz,1,Murillo,5,El Alto,1984558,2,Femenino,35
2,La Paz,1,Murillo,5,El Alto,2199871,2,Femenino,55
2,La Paz,1,Murillo,5,El Alto,873571,1,Masculino,72
2,La Paz,1,Murillo,5,El Alto,874875,1,Masculino,38
2,La Paz,1,Murillo,5,El Alto,1155643,1,Masculino,39
2,La Paz,1,Murillo,5,El Alto,1162913,2,Femenino,52
2,La Paz,1,Murillo,5,El Alto,1359796,2,Femenino,56
2,La Paz,1,Murillo,5,El Alto,1340794,1,Masculino,32
2,La Paz,1,Murillo,5,El Alto,1897736,2,Femenino,33
2,La Paz,1,Murillo,5,El Alto,1990935,2,Femenino,29
2,La Paz,1,Murillo,5,El Alto,2178833,1,Masculino,36
2,La Paz,1,Murillo,5,El Alto,2319724,2,Femenino,49
2,La Paz,1,Murillo,5,El Alto,2785354,1,Masculino,37
2,La Paz,1,Murillo,5,El Alto,2799540,1,Masculino,37
2,La Paz,1,Murillo,5,El Alto,8834755,2,Femenino,22
2,La Paz,1,Murillo,5,El Alto,10128092,1,Masculino,24
2,La Paz,1,Murillo,5,El Alto,2112242,2,Femenino,26
2,La Paz,1,Murillo,5,El Alto,2116300,2,Femenino,24
2,La Paz,1,Murillo,5,El Alto,2173617,2,Femenino,41
2,La Paz,1,Murillo,5,El Alto,2438209,1,Masculino,41
2,La Paz,1,Murillo,5,El Alto,2604865,2,Femenino,31
2,La Paz,1,Murillo,5,El Alto,12503700,1,Masculino,42
2,La Paz,1,Murillo,5,El Alto,2805163,1,Masculino,33
2,La Paz,1,Murillo,5,El Alto,1887415,2,Femenino,34
2,La Paz,1,Murillo,5,El Alto,1895732,2,Femenino,58
2,La Paz,1,Murillo,5,El Alto,1899376,1,Masculino,34
2,La Paz,1,Murillo,5,El Alto,2905021,2,Femenino,37
2,La Paz,1,Murillo,5,El Alto,1212131,2,Femenino,59
2,La Paz,1,Murillo,5,El Alto,1246934,1,Masculino,35
2,La Paz,1,Murillo,5,El Alto,1973194,2,Femenino,45
2,La Paz,1,Murillo,5,El Alto,2851977,2,Femenino,26
2,La Paz,1,Murillo,5,El Alto,10306173,2,Femenino,27
2,La Paz,1,Murillo,5,El Alto,10306230,2,Femenino,27
2,La Paz,1,Murillo,5,El Alto,11204347,1,Masculino,57
2,La Paz,1,Murillo,5,El Alto,1691297,2,Femenino,75
2,La Paz,1,Murillo,5,El Alto,1706569,2,Femenino,35
2,La Paz,1,Murillo,5,El Alto,1712503,1,Masculino,55
2,La Paz,1,Murillo,5,El Alto,1181908,1,Masculino,40
2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,962297,2,Femenino,29
2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,1543907,1,Masculino,30
2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,2553793,2,Femenino,37
2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,8306282,2,Femenino,32
2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,8321776,1,Masculino,32
2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,8403139,1,Masculino,48
2,La Paz,1,Murillo,2,Palca,1897743,2,Femenino,91
2,La Paz,1,Murillo,2,Palca,1906310,2,Femenino,51
2,La Paz,1,Murillo,2,Palca,1685331,2,Femenino,51
2,La Paz,1,Murillo,2,Palca,1689114,1,Masculino,77
2,La Paz,1,Murillo,2,Palca,1896675,2,Femenino,38
2,La Paz,1,Murillo,2,Palca,1902641,2,Femenino,90
